ticker
PETR4
VALE3
ITUB4
BBDC4
B3SA3
ABEV3
MGLU3
GNDI3
LREN3
WEGE3
BBAS3
VVAR3
BBDC3
CIEL3
BRDT3
SUZB3
JBSS3
CSNA3
MRFG3
GGBR4
RADL3
CPFE3
KLBN11
EMBR3
HYPE3
BTOW3
EQTL3
LAME4
NATU3
CVCB3
IRBR3
RAIL3
GOLL4
TIMP3
ELET6
CSAN3
CESP6
BRKM5
CPLE6
ECOR3
HAPV3
YDUQ3
GOAU4
MRVE3
BBSE3
CCRO3
AZUL4
RENT3
